game_id,n_guesses,time_to_win
1,10,66.0
2,33,307.0
3,8,46.0
4,14,110.0
5,37,308.0
6,14,107.0
7,17,179.0
8,14,95.0
9,20,154.0
10,23,175.0
11,12,77.14
12,17,152.71
13,9,57.2
14,9,53.76
15,8,70.71
16,7,34.33
17,11,77.5
18,9,62.36
19,12,93.56
20,9,48.37
21,10,81.01
22,10,48.17
23,7,56.55
24,10,50.05
25,14,78.01
26,9,37.51
27,5,16.47
28,15,88.57
29,14,95.55
30,9,53.22
31,9,37.35
32,9,42.23
33,10,45.73
34,8,32.04
35,23,138.98
36,13,65.51
37,15,78.74
38,13,109.17
39,16,84.64
40,8,59.99
41,7,55.14
42,5,19.48
43,11,89.13
44,7,51.82
45,7,84.67
46,8,82.11
47,15,122.49
48,9,102.92
49,8,58.21
50,15,127.95
51,10,65.15
52,12,123.45
53,7,43.95
54,8,36.39
55,9,99.55
56,8,38.27
57,13,90.31
58,12,112.7
59,5,42.65
60,9,67.57
61,9,59.26
62,7,51.47
63,6,50.51
64,6,43.97
65,7,38.96
66,7,81.82
67,7,36.33
68,7,56.77
69,9,52.19
70,11,97.97
71,10,107.14
72,2,4.45
73,10,65.46
74,9,61.36
75,13,93.32
76,6,45.81
